year,teamCn,teamEn,preTournamentOdds,finalRank,oddsSource,resultSource
2002,巴西,Brazil,6/1,1,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,德国,Germany,14/1,2,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,土耳其,Turkey,66/1,3,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,韩国,South Korea,150/1,4,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,西班牙,Spain,8/1,5,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,英格兰,England,9/1,6,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,塞内加尔,Senegal,150/1,7,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,美国,USA,200/1,8,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,日本,Japan,66/1,9,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,丹麦,Denmark,80/1,10,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,墨西哥,Mexico,100/1,11,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,爱尔兰,Ireland,80/1,12,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,瑞典,Sweden,66/1,13,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,比利时,Belgium,80/1,14,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,意大利,Italy,6/1,15,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,巴拉圭,Paraguay,50/1,16,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,南非,South Africa,200/1,17,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,阿根廷,Argentina,4/1,18,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,哥斯达黎加,Costa Rica,200/1,19,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,喀麦隆,Cameroon,50/1,20,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,葡萄牙,Portugal,12/1,21,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,俄罗斯,Russia,50/1,22,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,克罗地亚,Croatia,66/1,23,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,厄瓜多尔,Ecuador,100/1,24,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,波兰,Poland,80/1,25,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,乌拉圭,Uruguay,66/1,26,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,尼日利亚,Nigeria,100/1,27,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,法国,France,4/1,28,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,突尼斯,Tunisia,200/1,29,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,斯洛文尼亚,Slovenia,150/1,30,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,中国,China,300/1,31,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,沙特,Saudi Arabia,250/1,32,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2006,意大利,Italy,17/2,1,BODOG via DocSports,FIFA final standings / tournament records
2006,法国,France,10/1,2,BODOG via DocSports,FIFA final standings / tournament records
2006,德国,Germany,7/1,3,BODOG via DocSports,FIFA final standings / tournament records
2006,葡萄牙,Portugal,19/1,4,BODOG via DocSports,FIFA final standings / tournament records
2006,巴西,Brazil,5/2,5,BODOG via DocSports,FIFA final standings / tournament records
2006,阿根廷,Argentina,13/2,6,BODOG via DocSports,FIFA final standings / tournament records
2006,英格兰,England,7/1,7,BODOG via DocSports,FIFA final standings / tournament records
2006,乌克兰,Ukraine,50/1,8,BODOG via DocSports,FIFA final standings / tournament records
2006,西班牙,Spain,14/1,9,BODOG via DocSports,FIFA final standings / tournament records
2006,瑞士,Switzerland,125/1,10,BODOG via DocSports,FIFA final standings / tournament records
2006,荷兰,Netherlands,12/1,11,BODOG via DocSports,FIFA final standings / tournament records
2006,厄瓜多尔,Ecuador,190/1,12,BODOG via DocSports,FIFA final standings / tournament records
